time,a,b,C,t,a_after,b_after
722,136.3,31,,722,136.3,31
723,136.4,31,,723,136.4,31
724,136.3,31,,724,136.3,31
725,136.8,31,,725,136.8,31
726,135.7,31,,726,135.7,31
727,136,31,,727,136,31
728,136.8,31,,728,136.8,31
729,137,31,,729,137,31
730,137,31,,730,137,31
731,137,31,,731,137,31
732,136.2,31,,732,136.2,31
733,135.1,31,,733,135.1,31
734,135.5,31,,734,135.5,31
735,136.1,31,,735,136.1,31
736,135.7,31,,736,135.7,31
737,136.2,31,,737,136.2,31
738,136,31,,738,136,31
739,136,31,,739,136,31
740,136,31,,740,136,31
741,135.2,31,,741,135.2,31
742,135.8,31,,742,135.8,31
743,136,31,,743,136,31
744,136.3,31,,744,136.3,31
745,136.4,31,,745,136.4,31
746,135.5,31,,746,135.5,31
747,135.9,31.1,,747,135.9,31.1
748,136,31,,748,136,31
749,136,31,,749,136,31
750,134.8,31.08,,750,134.8,31.08
751,135.4,31,,751,135.4,31
752,135.3,31,,752,135.3,31
753,135.4,31,,753,135.4,31
754,135.6,31,,754,135.6,31
755,136,31,,755,136,31
756,134.7,31,,756,134.7,31
757,135.9,31,,757,135.9,31
758,136,31,,758,136,31
759,136,31,,759,136,31
760,135.4,31,,760,135.4,31
761,135,31,,761,135,31
762,135.3,31,,762,135.3,31
763,135.1,31,,763,135.1,31
764,134.5,31,,764,134.5,31
765,134.8,31,,765,134.8,31
766,135.2,31,,766,135.2,31
767,135,31,,767,135,31
768,135,31,,768,135,31
769,135.3,31,,769,135.3,31
770,135,31,,770,135,31
771,135.1,31,,771,135.1,31
772,135.5,31,,772,135.5,31
773,135.4,31,,773,135.4,31
774,135.6,31,,774,135.6,31
775,134.9,31,,775,134.9,31
776,135.9,31,,776,135.9,31
777,136,31,,777,136,31
778,136,31,,778,136,31
779,136.7,31,,779,136.7,31
780,135.8,31,,780,135.8,31
781,135.5,31.08,,781,135.5,31.08
782,136.2,31,,782,136.2,31
783,135.7,31,,783,135.7,31
784,136,31,,784,136,31
785,136,31,,785,136,31
786,136,31,,786,136,31
787,136,31,,787,136,31
788,136.3,31,,788,136.3,31
789,135.8,31,,789,135.8,31
790,136,31,,790,136,31
791,136.1,31,,791,136.1,31
792,135.9,31,,792,135.9,31
793,136.4,31,,793,136.4,31
794,136,31,,794,136,31
795,136,31,,795,136,31
796,136,31,,796,136,31
797,136.3,31,,797,136.3,31
798,136.2,31,,798,136.2,31
799,135.8,31,,799,135.8,31
800,136.3,31,,800,136.3,31
801,136.7,31,,801,136.7,31
802,136.9,31,,802,136.9,31
803,136.8,31,,803,136.8,31
804,137,31,,804,137,31
805,137,31,,805,137,31
806,137,31,,806,137,31
807,137,31.1,,807,137,31.1
808,136.5,31,,808,136.5,31
809,136.3,31.08,,809,136.3,31.08
810,137.8,31,,810,137.8,31
811,138,31,,811,138,31
812,137.4,31,,812,137.4,31
813,137.3,31,,813,137.3,31
814,137,31,,814,137,31
815,137,31,,815,137,31
816,136.2,31,,816,136.2,31
817,135.8,31,,817,135.8,31
818,136.7,31,,818,136.7,31
819,136,31,,819,136,31
820,135.8,31,,820,135.8,31
821,136,31,,821,136,31
822,136.3,31,,822,136.3,31
823,136,31,,823,136,31
824,136,31,,824,136,31
825,136.8,31,,825,136.8,31
826,136,31,,826,136,31
827,135.2,31,,827,135.2,31
828,135.4,31,,828,135.4,31
829,135.8,31,,829,135.8,31
830,136.2,31,,830,136.2,31
831,136.5,31,,831,136.5,31
